,Station,Cluster Label,EM Label,p0-1,p1-2,p2-3,p3-4,p4-5,p5-6,p6-7,p7-8,p8-9,p9-10,p10-11,p11-12,p12-13,p13-14,p14-15,p15-16,p16-17,p17-18,p18-19,p19-20,p20-21,p21-22,p22-23,p23-0,r0-1,r1-2,r2-3,r3-4,r4-5,r5-6,r6-7,r7-8,r8-9,r9-10,r10-11,r11-12,r12-13,r13-14,r14-15,r15-16,r16-17,r17-18,r18-19,r19-20,r20-21,r21-22,r22-23,r23-0
314,31632,3,2,0.0,2.0,0.0,0.0,2.0,11.0,55.0,91.0,172.0,45.0,26.0,25.0,27.0,23.0,26.0,14.0,34.0,35.0,28.0,17.0,7.0,10.0,2.0,2.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,17.0,1.0,8.0,6.0,36.0,32.0,25.0,33.0,28.0,70.0,109.0,112.0,67.0,38.0,20.0,28.0,15.0
315,31633,0,2,1.0,0.0,0.0,0.0,0.0,0.0,8.0,22.0,31.0,49.0,24.0,37.0,32.0,35.0,61.0,76.0,128.0,180.0,58.0,21.0,19.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,68.0,122.0,58.0,21.0,26.0,44.0,32.0,26.0,52.0,84.0,54.0,11.0,8.0,9.0,5.0,2.0,4.0
316,31634,4,2,6.0,3.0,1.0,0.0,0.0,1.0,12.0,28.0,38.0,32.0,35.0,53.0,69.0,85.0,70.0,121.0,186.0,142.0,142.0,92.0,72.0,62.0,82.0,32.0,8.0,1.0,0.0,0.0,3.0,16.0,126.0,141.0,136.0,64.0,52.0,59.0,99.0,89.0,79.0,75.0,76.0,131.0,223.0,116.0,80.0,29.0,34.0,8.0
317,31635,0,2,0.0,0.0,0.0,1.0,0.0,0.0,9.0,7.0,17.0,14.0,14.0,21.0,11.0,20.0,12.0,45.0,75.0,66.0,24.0,15.0,16.0,5.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,25.0,65.0,62.0,18.0,3.0,3.0,14.0,12.0,14.0,25.0,15.0,25.0,37.0,16.0,16.0,6.0,7.0,0.0
318,31636,2,0,9.0,2.0,1.0,3.0,0.0,23.0,40.0,120.0,175.0,38.0,27.0,42.0,27.0,29.0,42.0,30.0,46.0,41.0,52.0,55.0,36.0,18.0,7.0,12.0,13.0,10.0,5.0,7.0,4.0,2.0,13.0,12.0,21.0,9.0,19.0,20.0,10.0,31.0,34.0,52.0,46.0,104.0,99.0,98.0,64.0,56.0,29.0,33.0
319,31637,0,2,4.0,1.0,0.0,0.0,0.0,4.0,8.0,61.0,79.0,26.0,24.0,36.0,56.0,47.0,22.0,45.0,120.0,192.0,71.0,28.0,13.0,11.0,19.0,11.0,3.0,1.0,2.0,9.0,2.0,7.0,66.0,67.0,181.0,127.0,28.0,19.0,42.0,48.0,28.0,46.0,55.0,76.0,39.0,14.0,18.0,9.0,3.0,5.0
320,31638,4,2,2.0,1.0,0.0,0.0,0.0,3.0,19.0,78.0,62.0,51.0,58.0,53.0,52.0,70.0,50.0,74.0,88.0,147.0,122.0,79.0,59.0,36.0,26.0,14.0,8.0,2.0,0.0,0.0,1.0,0.0,19.0,59.0,127.0,76.0,59.0,40.0,57.0,51.0,56.0,66.0,69.0,122.0,95.0,77.0,90.0,40.0,34.0,22.0
321,31639,4,2,10.0,0.0,1.0,2.0,0.0,1.0,51.0,90.0,136.0,107.0,68.0,66.0,59.0,52.0,43.0,52.0,57.0,133.0,121.0,75.0,47.0,23.0,9.0,14.0,8.0,8.0,8.0,1.0,1.0,8.0,24.0,64.0,146.0,78.0,41.0,33.0,61.0,51.0,22.0,38.0,88.0,176.0,148.0,110.0,79.0,73.0,47.0,24.0
322,31640,2,2,3.0,3.0,0.0,0.0,0.0,28.0,74.0,177.0,140.0,59.0,58.0,53.0,50.0,46.0,37.0,41.0,35.0,50.0,63.0,32.0,37.0,15.0,4.0,3.0,7.0,8.0,3.0,3.0,1.0,0.0,2.0,13.0,7.0,23.0,15.0,30.0,38.0,35.0,51.0,45.0,77.0,141.0,115.0,75.0,51.0,45.0,26.0,18.0
323,31641,4,2,4.0,2.0,0.0,0.0,2.0,10.0,48.0,81.0,129.0,128.0,49.0,67.0,70.0,68.0,72.0,63.0,97.0,224.0,181.0,101.0,43.0,53.0,31.0,8.0,3.0,5.0,0.0,2.0,0.0,5.0,9.0,61.0,150.0,125.0,69.0,55.0,61.0,69.0,60.0,77.0,145.0,229.0,132.0,77.0,55.0,38.0,39.0,18.0
324,31642,2,2,2.0,0.0,1.0,1.0,1.0,3.0,14.0,41.0,89.0,64.0,22.0,17.0,13.0,22.0,16.0,12.0,16.0,26.0,25.0,20.0,13.0,8.0,4.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,7.0,18.0,17.0,8.0,17.0,10.0,25.0,14.0,33.0,36.0,51.0,47.0,25.0,28.0,11.0,16.0,7.0
325,31643,4,2,3.0,2.0,0.0,1.0,1.0,6.0,38.0,85.0,106.0,42.0,45.0,46.0,74.0,84.0,56.0,75.0,143.0,208.0,141.0,71.0,46.0,22.0,26.0,11.0,4.0,4.0,1.0,2.0,2.0,9.0,52.0,85.0,240.0,65.0,44.0,33.0,41.0,51.0,56.0,64.0,85.0,132.0,105.0,51.0,54.0,34.0,36.0,18.0
326,31644,2,2,4.0,1.0,0.0,0.0,0.0,2.0,18.0,49.0,80.0,38.0,20.0,18.0,27.0,28.0,22.0,17.0,20.0,37.0,44.0,35.0,18.0,14.0,1.0,1.0,6.0,5.0,2.0,2.0,0.0,0.0,9.0,32.0,30.0,19.0,18.0,16.0,15.0,26.0,14.0,22.0,15.0,47.0,41.0,52.0,32.0,31.0,27.0,6.0
327,31645,3,2,1.0,1.0,0.0,0.0,0.0,0.0,16.0,56.0,155.0,79.0,36.0,38.0,24.0,28.0,14.0,14.0,13.0,29.0,54.0,28.0,20.0,9.0,3.0,5.0,10.0,3.0,2.0,1.0,0.0,0.0,1.0,3.0,10.0,12.0,14.0,17.0,23.0,20.0,31.0,23.0,36.0,99.0,150.0,91.0,60.0,33.0,25.0,18.0
328,31646,4,2,10.0,5.0,2.0,0.0,0.0,2.0,4.0,38.0,52.0,38.0,52.0,53.0,67.0,53.0,52.0,80.0,97.0,163.0,102.0,73.0,86.0,52.0,42.0,42.0,8.0,2.0,3.0,2.0,1.0,3.0,10.0,22.0,103.0,48.0,34.0,61.0,80.0,81.0,67.0,71.0,91.0,170.0,155.0,126.0,83.0,37.0,48.0,17.0
329,31647,2,2,3.0,1.0,2.0,0.0,2.0,6.0,34.0,126.0,211.0,56.0,29.0,39.0,34.0,43.0,30.0,44.0,52.0,60.0,90.0,55.0,40.0,14.0,12.0,5.0,17.0,2.0,7.0,1.0,1.0,1.0,2.0,11.0,17.0,13.0,20.0,30.0,30.0,26.0,24.0,36.0,35.0,103.0,133.0,105.0,75.0,63.0,61.0,30.0
330,31648,2,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,11.0,6.0,10.0,5.0,8.0,10.0,10.0,13.0,25.0,11.0,19.0,10.0,46.0,60.0,8.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0,4.0,9.0,8.0,6.0,8.0,8.0,17.0,8.0,33.0,37.0,61.0,127.0,54.0,20.0,11.0,19.0,6.0
331,31703,4,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,7.0,4.0,2.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,7.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0
332,31706,3,0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,7.0,17.0,1.0,2.0,3.0,0.0,2.0,2.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0
